Season,Team,Conference,AdjTempo,AdjTempo.Rank,AdjOE,AdjOE.Rank,Off-eFG%,Off-eFG%.Rank,Off-TO%,Off-TO%.Rank,Off-OR%,Off-OR%.Rank,Off-FTRate,Off-FTRate.Rank,AdjDE,AdjDE.Rank,Def-eFG%,Def-eFG%.Rank,Def-TO%,Def-TO%.Rank,Def-OR%,Def-OR%.Rank,Def-FTRate,Def-FTRate.Rank
2021,Gonzaga,WCC,73.8,7,126.4,1,61.0,1,16.1,40,30.1,102,35.7,66,89.9,11,47.7,61,19.3,137,23.8,31,25.7,43
2021,Baylor,B12,67.4,213,125.0,2,56.5,7,16.5,54,37.3,5,26.5,295,91.1,22,48.9,121,24.4,4,30.6,274,31.3,167
2021,Iowa,B10,69.9,93,123.5,3,54.7,24,13.3,1,30.8,81,32.0,158,96.7,75,48.8,115,16.1,314,29.1,220,22.2,6
2021,Ohio St.,B10,66.7,251,120.7,4,52.9,58,15.5,18,29.3,119,37.2,40,97.1,82,48.7,108,14.7,337,27.0,141,33.5,219
2021,LSU,SEC,70.6,70,120.1,5,52.3,73,15.6,19,31.4,66,34.0,106,99.8,124,48.5,99,17.9,231,32.1,312,29.8,135
2021,Villanova,BE,64.2,336,119.0,6,53.2,49,13.7,4,27.8,174,30.0,210,96.0,66,51.0,216,18.4,198,25.7,84,25.6,40
2021,Houston,Amer,64.4,332,118.3,7,50.4,154,16.2,43,39.8,2,31.3,177,89.6,9,43.9,2,21.1,55,27.9,169,41.2,329
2021,Illinois,B10,70.5,79,118.0,8,55.6,12,18.1,128,32.2,49,37.9,30,88.9,7,46.5,29,16.0,316,22.1,11,30.1,142
2021,Michigan,B10,66.6,256,117.6,9,54.7,25,16.6,58,29.6,113,30.4,201,87.9,4,44.4,6,14.8,336,24.7,54,24.3,26
2021,Oregon,P12,67.2,226,117.2,10,54.2,32,16.7,66,29.1,130,26.0,306,95.4,55,50.8,200,20.2,86,27.7,158,26.7,55
2021,UCLA,P12,63.8,341,116.9,11,52.0,82,15.7,25,30.5,92,31.6,167,94.5,46,50.4,189,17.5,257,25.1,64,28.2,92
2021,West Virginia,B12,69.2,122,116.8,12,48.9,217,16.8,71,35.9,8,37.9,31,96.3,70,51.0,217,21.0,58,31.1,283,27.9,87
2021,Colorado,P12,66.1,276,116.3,13,52.4,69,17.1,82,30.8,79,29.5,227,91.2,23,47.9,71,19.8,112,25.6,81,29.1,115
2021,USC,P12,67.0,235,115.7,14,52.7,60,18.0,122,34.9,16,36.3,59,88.1,6,44.9,7,16.9,286,28.3,186,24.1,24
2021,Arizona,P12,67.7,198,115.6,15,50.5,138,17.2,89,34.3,24,41.8,7,95.7,59,49.2,131,18.0,223,24.4,45,32.4,195
2021,Florida St.,ACC,69.9,90,114.9,16,54.0,37,20.4,255,34.4,22,32.4,152,92.8,33,46.1,24,19.5,127,31.7,301,35.2,263
2021,Virginia,ACC,59.9,357,114.7,17,55.4,14,15.0,10,22.7,308,21.7,343,93.3,36,48.0,77,15.3,332,22.6,14,24.8,31
2021,Duke,ACC,68.5,152,114.5,18,53.6,43,18.3,144,32.2,47,23.4,336,97.0,79,51.3,226,19.9,104,29.0,213,31.9,183
2021,Toledo,MAC,68.7,143,114.3,19,54.0,36,15.6,21,29.7,111,28.5,251,102.6,182,48.6,102,17.6,253,30.8,276,23.7,20
2021,Davidson,A10,62.5,353,113.9,20,55.3,16,17.3,90,28.1,163,26.9,290,101.8,164,50.0,174,16.1,311,22.4,13,28.6,107
2021,Notre Dame,ACC,67.2,227,113.8,21,53.9,39,15.7,26,22.0,318,25.9,308,103.7,203,50.8,202,12.7,346,29.8,247,19.7,1
2021,Georgia Tech,ACC,67.3,223,113.7,22,54.1,35,16.1,36,24.4,261,28.4,253,96.2,68,52.4,269,22.6,18,30.4,266,28.9,112
2021,BYU,WCC,67.6,206,113.7,23,54.9,22,19.0,175,28.7,145,27.9,268,92.5,30,46.9,38,15.7,327,23.4,23,29.4,125
