Season,Team,Conference,AdjTempo,AdjTempo.Rank,AdjOE,AdjOE.Rank,Off-eFG%,Off-eFG%.Rank,Off-TO%,Off-TO%.Rank,Off-OR%,Off-OR%.Rank,Off-FTRate,Off-FTRate.Rank,AdjDE,AdjDE.Rank,Def-eFG%,Def-eFG%.Rank,Def-TO%,Def-TO%.Rank,Def-OR%,Def-OR%.Rank,Def-FTRate,Def-FTRate.Rank
2019,Gonzaga,WCC,70.2,62,124.5,1,59.0,1,14.9,14,31.5,76,35.3,103,91.6,12,44.2,7,19.0,138,26.8,106,25.9,20
2019,Virginia,ACC,59.4,353,123.4,2,55.2,19,14.7,12,30.4,101,29.1,279,89.2,5,44.7,8,17.4,250,25.4,50,26.3,21
2019,Tennessee,SEC,67.8,164,122.7,3,55.3,18,15.8,25,31.6,72,33.3,178,96.5,42,48.1,51,18.0,208,30.2,260,34.9,232
2019,Purdue,B10,65.9,268,122.5,4,53.6,54,15.8,24,34.5,20,29.9,265,95.6,34,49.0,95,18.6,158,27.0,116,31.7,146
2019,Michigan St.,B10,66.9,211,121.0,5,55.2,20,18.5,175,33.9,26,33.6,167,90.2,9,43.9,4,14.9,343,26.4,91,27.5,41
2019,Auburn,SEC,67.9,155,120.9,6,54.4,34,16.8,63,31.6,73,30.9,240,95.9,36,51.7,219,24.6,2,32.9,326,36.3,264
2019,Duke,ACC,72.1,20,120.0,7,53.6,53,17.5,112,35.6,14,33.2,179,89.3,6,45.0,9,19.4,111,29.5,238,24.0,8
2019,North Carolina,ACC,74.3,6,119.7,8,52.9,80,17.2,84,35.3,16,30.2,255,92.0,15,48.9,92,18.3,177,22.9,7,28.4,64
2019,Iowa St.,B12,67.7,171,118.9,9,54.8,25,16.3,39,28.3,180,30.0,262,96.8,47,48.4,67,18.8,152,30.1,258,23.6,4
2019,Wofford,SC,65.7,278,118.1,10,57.5,4,16.1,31,31.8,63,27.8,302,97.4,56,49.9,134,19.1,128,25.2,46,31.8,147
2019,Virginia Tech,ACC,63.7,334,118.1,11,55.6,14,17.3,100,29.6,122,31.9,212,94.0,20,49.0,98,21.6,26,27.2,136,26.3,22
2019,LSU,SEC,70.0,67,117.7,12,51.2,149,17.9,138,36.8,9,37.1,64,97.5,59,49.9,135,20.1,78,30.8,272,33.1,193
2019,Mississippi St.,SEC,67.8,161,117.7,13,54.6,27,19.2,229,34.7,19,32.6,192,97.6,61,50.3,156,19.5,105,29.6,243,32.1,158
2019,Kentucky,SEC,65.6,284,117.6,14,53.0,76,18.6,184,36.8,8,41.9,14,90.1,8,46.6,22,17.9,212,25.5,55,26.8,28
2019,Iowa,B10,69.5,84,117.4,15,52.7,92,17.2,81,29.8,114,42.3,12,101.3,111,51.5,207,18.3,176,29.4,231,28.8,73
2019,Villanova,BE,63.6,335,116.5,16,53.2,67,16.9,67,30.3,102,34.4,137,99.2,81,50.4,158,18.0,202,27.7,159,28.2,55
2019,Hofstra,CAA,67.5,181,116.4,17,55.9,11,13.8,3,26.8,228,37.7,51,109.0,262,52.1,235,18.3,178,29.9,252,25.0,13
2019,Belmont,OVC,71.3,34,115.6,18,57.6,3,15.2,16,25.3,269,28.5,291,101.5,117,48.7,83,16.0,315,25.0,41,27.4,39
2019,Houston,Amer,66.1,260,115.3,19,52.1,106,16.5,51,34.4,22,31.6,225,91.2,11,42.5,1,18.2,185,26.0,76,37.3,282
2019,Baylor,B12,65.2,297,115.3,20,51.2,147,19.7,258,37.9,2,32.3,202,98.8,75,49.1,105,18.6,162,29.4,232,36.5,267
2019,Buffalo,MAC,73.6,11,115.2,21,53.3,62,15.9,26,31.9,62,32.7,190,95.4,31,47.3,32,20.3,67,27.0,119,31.9,151
2019,Utah,P12,66.4,240,114.8,22,55.0,22,19.2,228,31.0,87,35.5,100,108.9,257,52.3,250,14.7,346,27.1,125,32.5,170
2019,Saint Mary's,WCC,62.7,348,114.7,23,53.8,48,16.3,41,31.1,85,29.1,278,97.4,55,48.9,86,16.3,304,23.0,10,29.1,76
2019,Michigan,B10,64.8,317,114.5,24,51.6,127,13.9,5,24.7,284,27.5,308,86.2,2,44.1,6,18.0,210,24.8,34,24.1,9
2019,Texas Tech,B12,66.6,231,114.1,25,53.5,57,17.8,122,27.5,205,32.9,185,84.1,1,43.0,2,22.8,14,28.6,196,36.7,273
2019,Nevada,MWC,69.3,91,114.0,26,53.7,51,14.6,10,27.2,215,40.8,17,95.9,35,47.7,39,19.2,126,24.8,36,28.0,52
2019,Kansas,B12,70.1,66,113.9,27,52.6,93,18.8,200,30.1,109,32.5,198,92.3,17,47.8,42,18.2,189,27.9,163,27.8,47
2019,Louisville,ACC,67.2,199,113.7,28,50.9,165,17.4,106,29.2,137,34.9,115,94.4,24,46.8,25,16.1,313,25.9,74,32.0,156
2019,Texas,B12,64.7,320,113.5,29,50.9,166,16.2,36,28.1,186,29.7,270,94.4,26,48.7,79,18.9,145,29.5,239,29.7,88
2019,Nebraska,B10,66.4,238,113.5,30,49.2,243,14.3,6,28.5,169,33.0,183,99.1,79,48.1,52,19.3,118,32.1,312,30.0,100
2019,Maryland,B10,66.0,264,113.4,31,51.4,136,19.3,234,34.1,25,32.8,186,94.1,21,45.9,16,14.1,352,24.8,37,26.6,25
2019,Marquette,BE,68.8,116,113.2,32,53.5,58,19.3,239,29.4,131,35.1,106,96.7,45,46.3,18,16.6,297,26.1,81,35.9,252
2019,Mississippi,SEC,68.5,131,113.2,33,53.1,72,18.2,151,30.2,103,30.9,239,99.2,80,51.0,180,20.5,61,29.3,225,33.5,203
2019,N.C. State,ACC,71.0,39,113.1,34,52.0,110,17.3,90,36.0,13,28.5,289,98.1,62,49.4,114,21.6,28,28.8,205,38.8,306
